Seq#,ID#,Florence,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Related Purchase
128,1095,0,1,312,10,1,10,0,0,0,0,0,0,0,0,0,0,0
129,1101,0,1,257,2,1,2,0,0,0,0,0,0,0,0,0,0,0
130,1103,0,1,205,4,2,6,0,0,0,0,0,0,0,0,0,0,0
131,1119,0,1,285,22,1,22,0,0,1,0,0,0,0,0,0,0,0
132,1121,0,1,122,4,1,4,0,0,0,0,0,0,0,0,0,0,0
133,1123,0,1,363,2,12,28,0,1,2,1,0,1,1,1,0,0,3
134,1131,0,1,302,10,1,10,0,0,0,0,0,0,0,0,0,0,0
135,1138,0,1,51,4,2,12,0,0,0,0,0,0,0,0,0,0,0
136,1141,0,1,35,18,2,22,1,0,1,0,0,0,0,1,0,0,1
137,1142,0,0,150,2,10,28,1,1,1,2,1,0,0,0,1,0,1
138,1149,0,1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0
139,1151,0,1,244,32,1,32,0,0,1,0,0,0,0,0,0,0,0
140,1160,0,1,64,32,1,32,0,0,0,0,0,0,1,0,0,0,1
141,1161,1,1,89,4,2,6,0,0,0,0,0,0,0,0,0,0,0
142,1169,0,1,265,16,1,16,0,0,1,0,0,0,0,0,0,0,0
143,1170,0,0,163,14,1,14,0,0,0,0,0,0,0,0,0,0,0
144,1172,0,1,216,14,2,20,1,0,1,0,0,0,0,0,0,0,0
145,1185,0,1,283,14,9,46,1,2,3,0,2,0,1,2,1,0,4
146,1195,0,1,294,14,2,22,0,1,0,0,1,0,0,0,0,0,0
147,1222,0,1,307,36,5,60,1,0,2,0,0,0,2,1,0,0,3
148,1227,0,1,131,16,1,16,0,0,0,0,0,1,0,0,0,0,1
149,1230,0,1,359,18,9,48,1,0,3,2,0,2,1,0,0,0,3
150,1238,0,0,101,14,4,26,0,2,0,0,2,0,0,0,0,0,0
151,1248,0,1,246,18,1,18,0,0,0,1,0,0,0,0,0,0,0
152,1253,0,0,285,12,2,14,1,0,0,0,0,0,0,0,0,0,0
153,1261,0,1,157,26,1,26,1,0,0,0,0,0,0,0,0,0,0
154,1263,0,1,120,8,5,24,0,0,0,2,0,0,0,0,0,0,0
155,1283,0,1,217,14,2,20,1,0,0,0,1,0,0,0,0,0,0
156,1300,0,1,200,4,9,30,2,2,1,0,2,0,0,0,0,0,0
157,1313,0,1,100,12,4,32,0,0,0,2,1,0,0,0,0,0,0
158,1319,0,1,309,4,11,40,1,1,2,2,0,0,1,1,0,0,2
159,1323,0,0,354,6,10,56,1,3,4,1,0,0,0,0,0,0,0
160,1329,0,1,163,2,1,2,0,0,0,0,0,0,0,0,0,0,0
161,1333,0,1,66,12,2,20,0,0,1,0,0,0,0,0,0,0,0
162,1352,0,1,169,16,4,34,1,0,0,0,0,0,3,0,0,0,3
163,1353,0,1,224,4,1,4,0,0,0,0,0,0,0,0,0,0,0
164,1357,0,0,222,16,2,20,0,1,1,0,0,0,0,1,0,0,1
165,1364,0,1,477,20,12,68,2,1,5,0,0,1,3,1,0,0,5
166,1366,0,1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0
167,1371,0,1,295,32,2,40,2,0,0,0,0,0,0,0,0,0,0
168,1392,0,1,69,2,1,2,0,0,0,0,0,0,0,0,0,0,0
169,1394,0,1,275,8,10,62,1,1,1,2,1,2,0,1,1,2,6
170,1406,0,1,54,12,3,24,1,0,0,0,0,1,0,0,0,0,1
171,1411,0,0,201,34,6,54,3,1,0,0,1,0,1,0,0,0,1
172,1442,0,1,149,8,1,8,0,0,0,0,0,0,0,0,0,0,0
173,1455,0,1,364,14,8,54,2,2,2,0,0,1,1,1,0,0,3
174,1474,1,0,86,14,5,40,1,0,0,0,2,2,0,0,0,0,2
175,1484,0,1,151,12,4,34,0,1,0,1,1,0,0,0,0,0,0
176,1486,0,1,229,8,2,12,0,0,0,0,0,0,0,0,0,0,0
177,1494,0,1,227,2,9,42,1,0,0,1,0,2,0,0,0,0,2
178,1496,0,1,246,6,1,6,0,0,0,0,0,0,0,0,0,0,0
179,1505,0,1,43,10,2,16,1,0,0,0,0,0,0,0,0,0,0
180,1515,0,1,158,12,2,14,0,1,0,0,0,0,0,0,0,0,0
181,1518,0,0,327,16,2,24,0,0,0,1,0,0,1,0,0,0,1
182,1521,1,1,164,2,3,16,1,0,0,0,0,0,0,0,0,0,0
183,1526,1,0,158,6,9,56,1,1,1,1,1,0,3,0,0,0,3
184,1529,0,0,206,10,2,16,1,0,0,0,0,0,0,0,0,0,0
185,1530,0,1,319,4,2,10,0,0,0,0,0,0,0,0,0,0,0
186,1531,0,0,39,10,1,10,0,0,0,0,0,0,0,0,0,0,0
187,1543,0,1,295,6,2,14,0,0,1,0,0,0,0,0,0,0,0
188,1552,0,1,178,14,1,14,0,1,0,0,0,0,0,0,0,0,0
189,1554,0,1,128,32,5,48,1,0,1,0,0,0,3,0,0,0,3
190,1577,0,1,311,2,9,34,2,1,2,2,0,0,0,0,0,0,0
191,1610,0,0,391,8,9,48,1,1,2,1,3,0,0,0,0,0,0
192,1641,0,0,88,18,2,22,1,0,0,0,1,0,0,0,0,0,0
193,1652,0,1,97,2,2,10,0,0,0,0,0,0,0,0,0,0,0
194,1671,1,0,250,12,12,36,1,1,3,2,1,3,0,1,1,1,6
195,1672,0,1,102,2,1,2,0,0,0,0,0,0,0,0,0,0,0
196,1685,0,1,273,14,2,20,0,0,0,1,0,1,0,0,0,0,1
197,1690,0,1,362,14,5,42,1,0,2,0,1,0,1,1,1,0,3
198,1705,0,0,271,12,2,14,0,1,0,0,0,0,0,0,0,0,0
199,1740,0,0,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0
200,1741,0,1,280,14,2,22,0,0,1,0,0,0,0,0,0,0,0
201,1748,0,1,203,18,1,18,0,0,1,0,0,0,0,0,0,0,0
202,1749,0,1,304,16,2,18,1,0,0,1,0,0,0,0,0,0,0
203,1766,0,0,164,12,3,24,0,1,1,0,0,0,0,0,0,0,0
204,1784,0,1,32,12,1,12,0,0,0,0,0,0,0,0,0,0,0
205,1785,0,1,178,30,2,34,0,0,1,0,0,0,1,0,0,0,1
206,1788,1,1,130,12,1,12,0,0,0,0,0,0,0,0,0,0,0
207,1796,0,0,177,30,9,76,1,2,2,1,1,2,0,0,0,0,2
208,1799,0,1,90,10,2,14,0,1,0,0,0,0,0,0,0,0,0
209,1805,0,1,292,14,1,14,0,1,0,0,0,0,0,0,0,0,0
210,1813,0,1,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0
211,1815,0,1,73,12,2,18,0,1,0,0,0,0,0,0,0,0,0
212,1817,0,0,123,4,2,10,0,0,0,0,0,0,0,0,0,0,0
213,1825,0,1,432,12,11,76,3,2,2,0,0,1,2,0,0,0,3
214,1837,0,1,218,22,1,22,0,0,0,1,0,0,0,0,0,0,0
215,1838,0,1,448,12,12,48,4,5,1,0,0,1,0,1,0,1,3
216,1844,0,1,37,16,2,22,0,0,0,2,0,0,0,0,0,0,0
217,1845,0,1,246,6,9,40,1,2,4,0,1,0,0,0,0,0,0
218,1846,0,0,200,8,3,24,0,1,0,0,0,0,1,0,0,0,1
219,1858,0,1,220,16,3,24,1,0,2,0,0,0,0,1,0,0,1
220,1878,0,0,238,24,1,24,0,0,0,0,0,1,0,0,0,0,1
221,1886,0,0,152,16,9,66,0,1,4,0,2,1,1,0,0,0,2
222,1889,1,1,361,6,6,36,1,0,2,0,0,1,1,1,0,1,4
223,1923,0,0,60,14,4,32,1,1,2,0,0,0,0,1,0,0,1
224,1941,0,0,438,12,11,76,4,0,2,4,0,0,0,1,0,0,1
225,1960,0,1,58,2,1,2,0,0,0,0,0,0,0,0,0,0,0
226,1962,0,0,61,10,3,20,2,0,0,0,0,0,0,0,0,0,0
227,1977,0,1,194,14,2,22,0,0,0,0,0,2,0,0,0,0,2
228,1984,0,1,239,8,1,8,0,0,0,0,0,0,0,0,0,0,0
229,2020,0,1,68,16,1,16,0,0,0,0,0,1,0,0,0,0,1
230,2046,0,1,88,16,1,16,0,0,0,1,0,0,0,0,0,0,0
231,2052,0,1,300,14,1,14,0,0,1,0,0,0,0,0,0,0,0
232,2062,0,0,363,14,7,42,1,2,1,1,1,0,1,0,0,0,1
233,2065,0,1,234,10,1,10,0,0,0,0,0,0,0,0,0,0,0
234,2068,0,1,191,6,1,6,0,0,0,0,0,0,0,0,0,0,0
235,2073,0,1,178,26,2,28,0,0,0,1,1,0,0,0,0,0,0
236,2074,0,1,146,10,1,10,0,0,0,0,0,0,0,0,0,0,0
237,2079,0,0,374,36,11,66,3,1,2,1,2,0,2,0,0,0,2
238,2081,0,0,109,14,2,20,0,0,1,0,1,0,0,0,0,0,0
239,2096,0,1,120,14,1,14,0,0,1,0,0,0,0,0,0,0,0
240,2099,0,1,210,16,1,16,1,0,0,0,0,0,0,0,0,0,0
241,2108,0,0,282,14,2,18,0,0,0,1,0,1,0,0,0,0,1
242,2119,0,1,260,32,1,32,0,0,0,0,0,0,1,0,0,0,1
243,2121,0,1,340,12,6,30,2,1,1,0,0,0,1,0,0,0,1
244,2124,1,1,441,10,12,72,2,1,0,2,1,2,3,0,0,0,5
245,2171,0,0,95,8,2,12,0,0,0,0,0,0,0,0,0,0,0
246,2172,0,0,34,10,2,16,1,0,0,0,0,0,0,0,0,0,0
247,2183,0,1,125,32,1,32,0,0,0,0,0,0,1,0,0,0,1
248,2184,0,1,329,14,3,24,0,0,1,0,0,2,0,0,0,0,2
249,2185,0,1,79,16,1,16,0,0,1,0,0,0,0,0,0,0,0
250,2198,0,1,96,26,2,28,0,0,0,0,1,0,1,0,0,0,1
251,2203,0,1,173,20,2,28,0,0,1,1,0,0,0,0,0,0,0
252,2204,0,1,364,16,8,60,0,1,3,0,0,1,3,0,0,0,4
253,2213,1,0,212,16,5,38,1,0,1,2,0,0,1,1,0,0,2
254,2226,0,1,124,16,2,22,2,0,0,0,0,0,0,0,0,0,0
255,2227,0,1,167,18,5,32,1,0,1,3,0,0,0,0,0,0,0
256,2238,0,1,80,12,1,12,0,0,0,0,0,0,0,0,0,0,0
257,2245,0,1,318,8,2,10,0,0,0,0,0,0,0,0,0,0,0
258,2253,0,1,260,12,1,12,0,0,0,0,0,0,0,0,0,0,0
259,2262,1,0,148,6,4,20,0,0,0,0,0,1,0,0,0,0,1
260,2263,0,0,243,4,1,4,0,0,0,0,0,0,0,0,0,0,0
261,2268,0,0,40,22,1,22,0,0,0,1,0,0,0,0,0,0,0
262,2294,0,1,121,12,5,32,1,0,0,1,0,0,0,0,0,0,0
263,2296,0,1,384,10,8,46,3,0,1,1,1,1,0,0,0,0,1
264,2299,0,1,90,10,5,38,0,0,2,0,0,0,1,1,0,0,2
265,2304,0,1,107,14,6,36,1,0,2,0,2,0,1,0,0,0,1
266,2313,0,1,53,12,2,14,0,0,1,0,0,0,0,0,0,0,0
267,2324,0,1,232,10,1,10,0,0,0,0,0,0,0,0,0,0,0
268,2339,0,0,329,16,5,36,2,0,1,1,0,1,0,0,0,0,1
269,2341,0,0,90,12,3,26,1,0,0,0,1,0,0,0,0,0,0
270,2342,0,1,192,34,6,52,0,0,3,2,0,1,0,0,0,0,1
271,2376,0,0,419,14,12,50,2,0,4,1,2,1,2,2,1,1,7
272,2377,0,1,153,10,1,10,0,0,0,0,0,0,0,0,0,0,0
273,2382,0,1,305,16,8,60,2,0,0,2,2,0,2,0,0,0,2
274,2383,0,1,218,14,8,48,1,0,3,1,0,1,2,0,0,0,3
275,2385,0,1,33,2,1,2,0,0,0,0,0,0,0,0,0,0,0
276,2392,0,0,135,16,4,26,0,0,2,0,1,0,1,0,0,0,1
277,2394,0,1,320,6,2,12,0,0,0,0,0,0,0,0,0,0,0
278,2431,1,1,174,16,2,22,0,0,0,0,1,0,1,0,0,0,1
279,2435,0,1,285,6,9,56,1,1,2,1,0,0,2,1,0,0,3
280,2471,0,0,208,4,2,8,0,0,0,0,0,0,0,0,0,0,0
281,2473,0,1,45,26,2,34,2,0,0,0,0,0,0,0,0,0,0
282,2475,0,0,77,8,1,8,0,0,0,0,0,0,0,0,0,0,0
283,2503,0,0,90,10,2,14,1,0,0,0,0,0,0,0,0,0,0
284,2505,0,1,297,8,7,22,0,2,1,0,0,1,0,0,0,0,1
285,2506,0,1,347,10,6,28,2,0,1,1,0,0,0,1,0,0,1
286,2508,0,1,188,36,6,62,2,0,2,0,0,1,1,0,0,0,2
287,2523,0,1,252,2,1,2,0,0,0,0,0,0,0,0,0,0,0
288,2527,1,0,415,16,12,68,5,0,0,2,1,1,3,0,0,0,4
289,2532,0,1,146,14,2,18,0,1,1,0,0,0,0,0,0,0,0
290,2536,0,1,142,4,2,6,0,0,0,0,0,0,0,0,0,0,0
291,2541,0,1,232,26,2,30,0,0,1,0,1,0,0,0,0,0,0
292,2591,0,0,326,22,4,38,2,0,0,1,0,0,1,0,0,0,1
293,2594,0,1,131,8,6,30,0,1,1,1,0,0,0,0,0,0,0
294,2603,0,0,166,16,1,16,0,0,0,0,0,0,1,0,0,0,1
295,2604,0,1,44,16,2,18,0,0,1,0,1,0,0,0,0,0,0
296,2624,0,1,159,34,1,34,0,0,1,0,0,0,0,0,0,0,0
297,2641,0,0,210,34,1,34,0,0,1,0,0,0,0,0,0,0,0
298,2649,0,1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0
299,2660,0,0,212,10,1,10,0,0,0,0,0,0,0,0,0,0,0
300,2668,0,1,201,32,1,32,1,0,0,0,0,0,0,0,0,0,0
301,2673,0,1,110,10,6,28,0,2,1,0,1,0,0,0,0,0,0
302,2676,0,1,18,16,1,16,0,1,0,0,0,0,0,0,0,0,0
303,2684,0,1,267,16,2,18,0,0,2,0,0,0,0,0,0,0,0
304,2687,0,1,38,4,1,4,0,0,0,0,0,0,0,0,0,0,0
305,2699,0,1,284,10,5,20,0,1,2,0,1,0,0,0,0,0,0
306,2707,0,1,332,12,10,48,2,1,3,1,0,1,0,1,0,1,3
307,2726,0,1,124,4,1,4,0,0,0,0,0,0,0,0,0,0,0
308,2727,0,0,192,12,1,12,0,0,0,0,0,0,0,0,0,0,0
309,2731,0,1,267,12,6,38,1,2,1,0,1,0,0,1,1,0,2
310,2739,0,1,324,10,2,14,1,0,0,0,0,0,0,0,0,0,0
311,2761,0,1,199,4,10,34,3,0,2,1,2,1,0,0,0,0,1
312,2771,1,0,356,4,6,22,1,0,0,1,0,0,0,0,0,0,0
313,2773,0,1,475,4,12,52,4,0,2,2,1,0,1,0,0,0,1
314,2798,0,1,258,14,2,18,1,0,0,0,1,0,0,0,0,0,0
315,2812,1,0,268,12,7,46,0,0,2,1,1,2,0,1,0,0,3
316,2819,0,1,101,10,2,18,0,1,0,0,0,0,0,0,0,0,0
317,2828,0,1,238,8,4,28,1,0,0,0,1,1,0,0,1,1,3
318,2829,0,1,305,14,8,56,0,1,4,2,0,0,1,0,0,0,1
319,2830,0,0,269,12,1,12,0,0,0,0,0,0,0,0,0,0,0
320,2846,0,1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0
321,2847,0,1,218,24,2,30,1,0,1,0,0,0,0,0,0,0,0
322,2851,1,0,155,30,6,44,1,0,3,0,0,0,2,0,0,0,2
323,2859,0,0,285,10,1,10,0,0,0,0,0,0,0,0,0,0,0
324,2873,0,1,317,14,9,64,1,3,1,2,0,1,1,0,0,0,2
325,2875,0,0,361,16,11,80,2,1,6,0,2,0,0,0,0,0,0
326,2889,0,1,370,10,8,50,2,0,2,0,0,1,1,0,0,0,2
327,2891,0,0,339,8,7,46,1,1,0,2,1,1,0,0,0,0,1
328,2901,1,0,48,10,1,10,0,0,0,0,0,0,0,0,0,0,0
329,2904,1,0,169,14,3,24,0,0,0,0,1,2,0,0,1,1,4
330,2907,0,1,75,4,2,10,0,0,0,0,0,0,0,0,0,0,0
331,2924,0,0,133,16,3,26,0,1,0,1,1,0,0,0,0,0,0
332,2927,0,1,330,14,6,34,3,0,0,0,3,0,0,0,1,0,1
333,2934,0,0,102,8,5,26,1,1,1,1,0,0,0,0,0,0,0
334,2959,0,1,311,10,1,10,0,0,0,0,0,0,0,0,0,0,0
335,2974,0,1,316,16,3,30,0,0,2,0,0,0,1,0,0,0,1
336,2981,0,1,230,2,12,32,0,4,2,1,0,0,0,2,0,0,2
337,2990,0,1,246,34,2,40,0,0,0,0,0,0,2,0,0,0,2
338,2993,1,0,219,10,6,28,2,0,1,0,0,1,1,1,0,1,4
339,3008,0,1,127,4,2,6,0,0,0,0,0,0,0,0,0,0,0
340,3012,0,1,256,16,4,36,2,0,0,1,0,1,0,0,0,0,1
341,3014,1,0,369,16,6,40,1,0,3,0,1,0,1,1,1,0,3
342,3016,0,1,269,32,1,32,0,1,0,0,0,0,0,0,0,0,0
343,3024,0,1,248,16,7,44,1,1,3,0,0,1,1,1,0,0,3
344,3030,0,1,293,18,9,42,2,0,1,1,2,1,2,0,0,0,3
345,3043,0,1,211,28,1,28,0,0,1,0,0,0,0,0,0,0,0
346,3047,0,1,82,16,3,26,0,1,0,0,0,1,1,0,0,0,2
347,3048,0,0,304,20,2,22,0,0,2,0,0,0,0,0,0,0,0
348,3054,0,1,177,8,1,8,0,0,0,0,0,0,0,0,0,0,0
349,3055,1,0,248,16,8,38,3,0,2,1,0,1,1,0,0,0,2
350,3057,0,1,86,6,1,6,0,0,0,0,0,0,0,0,0,0,0
351,3058,0,1,149,16,2,18,1,0,0,0,0,0,1,0,0,0,1
352,3067,0,0,158,32,2,34,0,0,1,1,0,0,0,0,0,0,0
353,3069,0,1,212,32,2,38,0,0,2,0,0,0,0,1,0,0,1
354,3072,0,1,422,18,9,56,3,0,5,1,0,0,0,0,0,0,0
355,3073,0,1,277,14,2,20,1,0,1,0,0,0,0,1,0,0,1
356,3078,0,1,222,10,2,14,0,0,0,0,0,0,0,0,0,0,0
